cost_center_id,gl_account_id,month_id,true_spend,actual,variance,variance_pct
1,1,1,87017.16369650318,86348.81064771058,2673.4121951704,3.195
1,1,2,83094.8493103088,83879.31218754768,203.91373500750342,0.2437
1,1,3,78234.21424496922,79206.34125803714,-4469.057194503039,-5.3409
1,1,4,86591.28254362226,84919.86888389167,1244.4704313514958,1.4873
1,1,5,86366.77850911724,86411.67931601826,2736.2808634780813,3.2701
1,1,6,82215.12473010154,83045.45548590468,-629.942966635499,-0.7528
1,1,7,88126.89809546483,86944.54342239218,3269.144969852001,3.9069
1,1,8,76507.4268793314,78831.32112255809,-4844.077329982087,-5.7891
1,1,9,78804.91562413909,78345.41787517755,-5329.9805773626285,-6.3698
1,1,10,83838.76313513487,82831.99363293572,-843.4048196044605,-1.0079
1,1,11,90074.65161135323,88827.47391610956,5152.075463569388,6.1572
1,1,12,79444.58212254537,81570.59602030694,-2104.802432233235,-2.5154
1,1,13,85466.05797113129,84261.76280141411,586.3643488739326,0.7008
1,1,14,86168.84451772532,86028.28720840652,2352.888755866341,2.8119
1,1,15,80312.70411171281,81483.93219291531,-2191.4662596248672,-2.619
1,1,16,75953.07280606132,76824.99906719162,-6850.399385348559,-8.1869
1,1,17,82188.22201022386,80941.19216939136,-2734.2062831488147,-3.2676
1,1,18,82865.65066950966,82730.1649376525,-945.2335148876737,-1.1296
1,1,19,75407.13205392128,76898.83577703896,-6776.56267550122,-8.0986
1,1,20,88161.33914146188,85610.49772395377,1935.0992714135937,2.3126
1,1,21,98021.08757780626,96049.13789053739,12373.73943799721,14.7878
1,1,22,95685.75425324106,96152.8209181541,12477.422465613927,14.9117
1,1,23,74554.20524124653,78780.51504364543,-4894.883408894748,-5.8498
1,1,24,85962.89220370157,83681.15481121057,5.7563586703909095,0.0069
1,1,25,85534.35225410156,85620.06024402156,1944.6617914813833,2.3241
1,1,26,87495.10674224768,87102.95584461845,3427.557392078277,4.0963
1,1,27,86235.0961018689,86487.09822994465,2811.699777404472,3.3602
1,1,28,87679.2996196462,87390.45891609075,3715.0604635505733,4.4398
1,1,29,89051.98947722623,88777.45150571023,5102.05305317005,6.0974
1,1,30,83882.0635189294,84916.04871058877,1240.6502580485976,1.4827
1,1,31,86445.82085513961,85933.06938789757,2257.670935357397,2.6981
1,1,32,85626.17560046767,85790.10465140206,2114.7061988618807,2.5273
1,1,33,82820.64184091207,83381.74859282319,-293.6498597169848,-0.3509
1,1,34,85077.35657752879,84626.01363020545,950.6151776652696,1.1361
1,1,35,88963.5184256686,88186.28605604064,4510.887603500465,5.3909
1,1,36,82054.19277731018,83436.05790698186,-239.34054555831244,-0.286
1,1,37,79904.49207488072,80334.43221536661,-3340.9662371735612,-3.9928
1,1,38,81001.05711700235,80781.74410857802,-2893.65434396216,-3.4582
1,1,39,75896.55274532118,76917.45361965742,-6757.944832882757,-8.0764
1,1,40,86003.71316831771,83982.28108371841,306.88263117823226,0.3668
1,1,41,80379.57640597077,81504.40375844017,-2170.994694100009,-2.5945
1,1,42,85872.7520641846,84774.11693254185,1098.7184800016694,1.3131
1,1,43,86105.29818606173,86058.78896168631,2383.3905091461347,2.8484
1,1,44,82521.63129118271,83238.36467015851,-437.03378238166624,-0.5223
1,1,45,79336.45588656543,79973.49096748888,-3701.907485051299,-4.4241
1,1,46,81252.29054339926,80869.12361203249,-2806.2748405076854,-3.3538
1,1,47,79689.96486731939,80002.43000253537,-3672.9684500048024,-4.3895
1,1,48,88866.12618394721,87030.89392062166,3355.4954680814844,4.0101
1,1,49,85191.74755689135,85926.62328230252,2251.2248297623446,2.6904
1,1,50,78734.6359755294,80026.05829180179,-3649.3401607383857,-4.3613
1,1,51,82750.22812148365,81947.1096922928,-1728.2887602473784,-2.0655
1,1,52,83612.10077138728,83439.72624140656,-235.67221113361302,-0.2817
1,1,53,81131.40651852822,81627.54536910004,-2047.8530834401317,-2.4474
1,1,54,83457.53685852073,82992.31079052224,-683.0876620179333,-0.8164
1,1,55,79261.09127535991,80100.38039199208,-3575.0180605481,-4.2725
1,1,56,81822.43847422606,81310.16903445283,-2365.229418087343,-2.8267
1,1,57,84499.79269917819,83964.32185418777,288.9234016475966,0.3453
1,1,58,80835.54770979962,81568.39670767533,-2107.001744864843,-2.5181
1,1,59,89112.45485669126,87457.07342731293,3781.674974772759,4.5195
1,1,60,86134.40079647106,86730.01160851511,3054.6131559749338,3.6506
1,2,1,46658.26871936661,45898.84316728138,3037.7022083409465,7.0873
1,2,2,43920.654207689055,44468.17711002457,1607.0361510841321,3.7494
1,2,3,41459.150835436056,41951.451509886654,-909.6894490537816,-2.1224
1,2,4,41728.743644334834,41674.82508255508,-1186.3158763853571,-2.7678
1,2,5,45663.37494435439,44876.44868435048,2015.3077254100426,4.7019
1,2,6,40341.7858377471,41406.10365906856,-1455.037299871874,-3.3948
