cost_center_id,gl_account_id,month_id,actual,variance,variance_pct
1,1,1,86348.81064771058,2673.4121951704,3.195
1,1,2,83879.31218754768,203.91373500750342,0.2437
1,1,3,79206.34125803714,-4469.057194503039,-5.3409
1,1,4,84919.86888389167,1244.4704313514958,1.4873
1,1,5,86411.67931601826,2736.2808634780813,3.2701
1,1,6,83045.45548590468,-629.942966635499,-0.7528
1,1,7,86944.54342239218,3269.144969852001,3.9069
1,1,8,78831.32112255809,-4844.077329982087,-5.7891
1,1,9,78345.41787517755,-5329.9805773626285,-6.3698
1,1,10,82831.99363293572,-843.4048196044605,-1.0079
1,1,11,88827.47391610956,5152.075463569388,6.1572
1,1,12,81570.59602030694,-2104.802432233235,-2.5154
1,1,13,84261.76280141411,586.3643488739326,0.7008
1,1,14,86028.28720840652,2352.888755866341,2.8119
1,1,15,81483.93219291531,-2191.4662596248672,-2.619
1,1,16,76824.99906719162,-6850.399385348559,-8.1869
1,1,17,80941.19216939136,-2734.2062831488147,-3.2676
1,1,18,82730.1649376525,-945.2335148876737,-1.1296
1,1,19,76898.83577703896,-6776.56267550122,-8.0986
1,1,20,85610.49772395377,1935.0992714135937,2.3126
1,1,21,96049.13789053739,12373.73943799721,14.7878
1,1,22,96152.8209181541,12477.422465613927,14.9117
1,1,23,78780.51504364543,-4894.883408894748,-5.8498
1,1,24,83681.15481121057,5.7563586703909095,0.0069
1,1,25,85620.06024402156,1944.6617914813833,2.3241
1,1,26,87102.95584461845,3427.557392078277,4.0963
1,1,27,86487.09822994465,2811.699777404472,3.3602
1,1,28,87390.45891609075,3715.0604635505733,4.4398
1,1,29,88777.45150571023,5102.05305317005,6.0974
1,1,30,84916.04871058877,1240.6502580485976,1.4827
1,1,31,85933.06938789757,2257.670935357397,2.6981
1,1,32,85790.10465140206,2114.7061988618807,2.5273
1,1,33,83381.74859282319,-293.6498597169848,-0.3509
1,1,34,84626.01363020545,950.6151776652696,1.1361
1,1,35,88186.28605604064,4510.887603500465,5.3909
1,1,36,83436.05790698186,-239.34054555831244,-0.286
1,1,37,80334.43221536661,-3340.9662371735612,-3.9928
1,1,38,80781.74410857802,-2893.65434396216,-3.4582
1,1,39,76917.45361965742,-6757.944832882757,-8.0764
1,1,40,83982.28108371841,306.88263117823226,0.3668
1,1,41,81504.40375844017,-2170.994694100009,-2.5945
1,1,42,84774.11693254185,1098.7184800016694,1.3131
1,1,43,86058.78896168631,2383.3905091461347,2.8484
1,1,44,83238.36467015851,-437.03378238166624,-0.5223
1,1,45,79973.49096748888,-3701.907485051299,-4.4241
1,1,46,80869.12361203249,-2806.2748405076854,-3.3538
1,1,47,80002.43000253537,-3672.9684500048024,-4.3895
1,1,48,87030.89392062166,3355.4954680814844,4.0101
1,1,49,85926.62328230252,2251.2248297623446,2.6904
1,1,50,80026.05829180179,-3649.3401607383857,-4.3613
1,1,51,81947.1096922928,-1728.2887602473784,-2.0655
1,1,52,83439.72624140656,-235.67221113361302,-0.2817
1,1,53,81627.54536910004,-2047.8530834401317,-2.4474
1,1,54,82992.31079052224,-683.0876620179333,-0.8164
1,1,55,80100.38039199208,-3575.0180605481,-4.2725
1,1,56,81310.16903445283,-2365.229418087343,-2.8267
1,1,57,83964.32185418777,288.9234016475966,0.3453
1,1,58,81568.39670767533,-2107.001744864843,-2.5181
1,1,59,87457.07342731293,3781.674974772759,4.5195
