cost_center_id,gl_account_id,budget
1,1,83675.39845254018
1,2,42861.140958940436
1,3,252506.0074349683
1,4,8392.804009559799
1,5,124345.57167013075
1,6,6958.020838078065
1,7,5621.406399336852
1,8,13448.934206598113
1,9,7029.453691703792
1,10,23125.341445278624
1,11,18846.51621040617
1,12,40769.24708775685
1,13,20149.30244195492
1,14,10981.726674740175
1,15,54983.90536793522
2,1,52997.00421590759
2,2,28925.44482764966
2,3,232475.7808651684
2,4,6999.311683986651
2,5,54320.52365403995
2,6,9807.096031333387
2,7,5995.419848208796
2,8,9365.893827106733
2,9,4686.722344631077
2,10,17659.49304415949
2,11,18773.67658015489
2,12,43935.50661321666
2,13,18574.72114356415
2,14,12873.778058952112
2,15,35146.15041770046
3,1,29288.009794651392
3,2,17709.552085067928
3,3,159340.8820163763
3,4,5370.750968734386
3,5,60939.67629953297
3,6,6501.832316226237
3,7,2325.832939807661
3,8,6828.594053348256
3,9,2798.0932271726247
3,10,8879.852086352059
3,11,16162.265496949367
3,12,36258.75982786794
3,13,13525.91111116887
3,14,7490.720104247913
3,15,20859.48861976518
4,1,43100.78362116308
4,2,21844.709576206034
4,3,112760.37059099492
4,4,4178.196699327828
4,5,43720.85563643695
4,6,6339.924082195836
4,7,2271.890066590889
4,8,5208.557735107163
4,9,2313.2799886459525
4,10,6914.299613784891
4,11,13513.810319094862
4,12,28259.271595796272
4,13,10311.942923064491
4,14,7630.037695939588
4,15,23080.594274332478
5,1,24748.03337292424
5,2,13596.163706493657
5,3,101654.10092668395
5,4,3656.7992735546495
5,5,32871.32735100842
5,6,5746.931340938908
5,7,1509.8666387242147
5,8,4179.195994538949
5,9,1995.9530385274345
5,10,3678.562157875017
5,11,9489.797932786492
5,12,28791.000680478795
5,13,9141.262777844191
5,14,5729.21646543022
5,15,20523.143110368677
6,1,28658.595408864243
6,2,18144.69447378469
6,3,111755.5852144977
6,4,4358.004755209981
6,5,28831.73110047702
6,6,2944.58255508397
6,7,1897.6955409307159
6,8,4969.568098371084
6,9,2435.261236255561
6,10,6384.794110003263
6,11,10342.343406856979
6,12,39798.66984670131
6,13,7997.039626787324
6,14,4428.037611542197
6,15,14639.411553817903
7,1,34391.459551979795
7,2,17280.464634532233
7,3,220493.03637647195
7,4,4582.569145690743
7,5,41548.764378778316
7,6,4933.737381660671
7,7,3031.6214733903053
7,8,7825.252749374043
7,9,3141.981130917747
7,10,14416.942928109494
7,11,13880.206895067886
7,12,26331.1855957213
7,13,10228.081150932483
7,14,5627.459203208022
7,15,18513.438241275086
8,1,37594.442212438604
8,2,12972.38330333443
8,3,192968.50842395777
8,4,4741.302962637582
8,5,57314.56126979768
8,6,6216.987836269974
8,7,3067.2906337027866
8,8,9351.902300696884
8,9,4882.829478068949
8,10,9641.577513732122
8,11,10835.911783852183
8,12,28032.681966765485
8,13,14509.15693289737
8,14,8516.367140290802
8,15,24707.538689649842
9,1,35807.44242822327
9,2,9431.262929586273
9,3,83634.38387297653
9,4,3341.8919003220008
9,5,37152.16904964867
9,6,3012.380668010772
9,7,2183.9981721401846
9,8,3761.94014135341
9,9,3093.8696330622165
9,10,5912.91379406442
9,11,11425.963104086832
9,12,25994.85694207778
9,13,6713.225498460087
9,14,5212.075072985064
9,15,15816.231196020737
10,1,31951.05000945929
10,2,18461.418297970446
10,3,100229.47829281297
10,4,3538.69674838857
10,5,50038.3166350817
10,6,5942.173594828904
10,7,1667.2654421681566
10,8,5741.797027516694
10,9,2189.430216473342
10,10,7767.162049219344
10,11,12120.365213521056
10,12,36630.01113633613
10,13,5460.150187567633
10,14,3707.688179353703
10,15,20139.36749019923
11,1,43520.75127305629
11,2,27177.79056131396
11,3,114941.1333553841
11,4,4444.198445291417
11,5,64973.44207457439
11,6,6908.31670945841
11,7,2021.5950237990837
11,8,6254.288900108667
11,9,4127.908037457491
11,10,7514.741630483432
11,11,16635.36761882909
11,12,30154.654524476802
11,13,17714.601854607306
11,14,10511.77153109856
11,15,25600.699778767856
12,1,34921.482493451884
12,2,17761.465154247817
12,3,130874.0241915393
12,4,5230.349420216912
12,5,53601.74711846709
12,6,7269.151576511129
12,7,3101.997696261336
12,8,8097.729875067083
12,9,3394.2455570629277
12,10,9252.203526907339
12,11,16462.71639124423
12,12,38701.93037423812
12,13,20436.766470361814
12,14,9072.691551026
12,15,28245.944119990872
13,1,24365.802377331485
13,2,13520.159550726961
13,3,124385.0353256959
13,4,3817.539771250428
13,5,55170.891930812715
13,6,4340.624860790149
13,7,2213.787080160428
13,8,5687.730289107914
13,9,2758.007933256169
13,10,7941.531740248445
13,11,12390.863477641216
13,12,42023.3865773151
13,13,8973.720617792655
13,14,5905.619286031292
13,15,15823.335574078754
14,1,15699.358681797179
14,2,9933.098296157697
14,3,75504.77131714228
14,4,3005.552485387431
14,5,21589.594649113595
14,6,2908.7517404365553
14,7,1354.8642567180777
14,8,2056.7183685464383
14,9,1539.1199654877482
14,10,3887.4553615022296
14,11,8912.499181349718
14,12,10658.726385610375
14,13,3356.0036238680646
14,14,2659.3387200327634
14,15,9863.575473291125
15,1,23377.075132299924
15,2,8115.739791836047
15,3,70024.08615934888
15,4,3699.2483014396976
15,5,31869.243308933084
15,6,4179.938440411532
15,7,1942.247393292588
15,8,4877.257933968295
15,9,2292.4263718978614
15,10,6326.625904883174
15,11,7961.776164426063
15,12,15676.265797888464
15,13,6344.907948743623
15,14,5585.846702250188
15,15,12945.633713389132
16,1,29504.924439114475
16,2,7424.073773959078
16,3,62320.198711037345
16,4,2557.644728253035
16,5,22313.422400316023
16,6,3100.727160259784
16,7,1521.2953161489286
16,8,3146.7886669521545
16,9,1659.2799235095044
16,10,5073.311307556169
16,11,6679.967628271404
16,12,16315.232746119631
16,13,5589.91252393424
16,14,4443.326950016209
16,15,9282.929947626688
17,1,33091.47556190204
17,2,15714.570001480763
17,3,71945.34146298209
17,4,3163.109828839573
17,5,37339.859105578595
17,6,4826.834349046699
17,7,2681.0006360197876
17,8,4967.179475679111
17,9,3418.6828412426803
17,10,8423.1131511724
17,11,9507.43269125512
17,12,24902.10770381378
17,13,8868.210888622621
17,14,10384.386221030123
17,15,13475.98795209365
18,1,36601.784243079775
18,2,11909.426172147956
18,3,99799.14179271476
18,4,2751.1337296814722
18,5,29892.144340501192
18,6,4534.467178142411
18,7,2248.658985373431
18,8,4162.059451825465
18,9,2051.201396932083
18,10,5989.261469201377
18,11,8386.767289191052
18,12,30323.368853591557
18,13,6876.4911181329135
18,14,6541.384852084615
18,15,19709.152188253836
19,1,33883.04395166061
19,2,16029.833772863885
19,3,103796.7468276854
19,4,5430.052056837419
19,5,52155.10201328491
19,6,4500.527573873884
19,7,2973.4694679219033
19,8,5631.233897873667
19,9,3213.3238547948126
19,10,10241.31871845311
19,11,10008.533322114572
19,12,33681.71453444539
19,13,12012.203490109132
19,14,8092.0050741629875
19,15,19944.78221794055
20,1,32468.4875786119
20,2,17069.142806683663
20,3,126914.61723120931
20,4,4956.772899732039
20,5,37156.154634336395
20,6,5707.852590272554
20,7,2552.9939719298795
20,8,7684.82999555263
20,9,5930.198769594667
20,10,13028.504735026698
20,11,11811.313991308643
20,12,24732.438151604892
20,13,13057.951595023676
20,14,7960.049837417285
20,15,19166.939906208736
21,1,21948.53224981641
21,2,12206.159131785487
21,3,76592.19261770588
21,4,3349.1232733950924
21,5,35577.91509843291
21,6,3688.828641377682
21,7,1834.448716622178
21,8,4394.202952258377
21,9,2385.965340905579
21,10,5011.760237009382
21,11,8999.294035954956
21,12,25296.221141830756
21,13,5641.102523990819
21,14,6269.150649366974
21,15,14922.528434272263
22,1,36828.983350613526
22,2,24180.07268115433
22,3,143254.31962441036
22,4,3432.742283736434
22,5,46839.71809609814
22,6,6567.2748724678795
22,7,3163.339359193755
22,8,7794.934871719084
22,9,4860.967380761954
22,10,8148.914173991483
22,11,15607.443581933123
22,12,32514.036286743773
22,13,13990.894385651272
22,14,9649.53248435091
22,15,30487.547534215268
23,1,54527.723427063975
23,2,15546.482909247456
23,3,85936.9008235348
23,4,4901.04921900401
23,5,51459.5531770465
23,6,6215.64818337096
23,7,2998.3546195183576
23,8,6565.384610956551
23,9,3109.8782434024206
23,10,10636.22534363633
23,11,12339.460681125698
23,12,39399.537440298904
23,13,15344.994666112032
23,14,9151.542111466377
23,15,12900.317914131061
24,1,33421.71371257533
24,2,19201.20493354246
24,3,100707.24746272828
24,4,4929.8743604056335
24,5,52310.04021280611
24,6,4553.361586063129
24,7,2600.431965206291
24,8,8793.62365859936
24,9,3792.0348774734316
24,10,8665.137735044234
24,11,11587.589660626274
24,12,29779.342505992343
24,13,11647.740745073117
24,14,7097.7699246561315
24,15,16685.49217525462
25,1,59695.66010581244
25,2,14356.87901729952
25,3,264953.565382848
25,4,4620.124462710674
25,5,83031.67040137314
25,6,7033.254384825807
25,7,4001.7733624861867
25,8,8080.192201218611
25,9,4277.929240770254
25,10,15278.081820760093
25,11,20721.192795120885
25,12,38095.179259917706
25,13,13481.703650339672
25,14,9253.872151840418
25,15,23983.555443630798
26,1,23392.45514743139
26,2,11893.088530325102
26,3,74266.3638111833
26,4,2914.33106890408
26,5,37065.45142242784
26,6,5383.72189411395
26,7,1897.949111898032
26,8,3575.2632891971307
26,9,2321.426081971542
26,10,5862.55382053024
26,11,11138.862270327165
26,12,26764.452791978943
26,13,7782.171131589042
26,14,5092.355174706134
26,15,21447.733207145444
27,1,43421.31088255949
27,2,13048.74339717622
27,3,99228.20691517639
27,4,4341.958409135242
27,5,30076.949879807256
27,6,4437.130826693761
27,7,2514.4899733589014
27,8,7648.363039887832
27,9,2643.2348790069227
27,10,11020.292517592381
27,11,11968.338193603353
27,12,35983.85511421381
27,13,11645.550049847054
27,14,8443.172984390854
27,15,21791.878637538364
28,1,23216.031429659077
28,2,7219.548268379005
28,3,106418.479748103
28,4,2482.565536574476
28,5,24239.74435555874
28,6,2605.1563802231776
28,7,1812.4859128618425
28,8,3448.5940630611353
28,9,2008.0766143993878
28,10,5044.222355324109
28,11,6467.749527433397
28,12,20152.37302951611
28,13,4344.695028195315
28,14,5801.3452617437815
28,15,14320.620861886013
29,1,18800.81398580883
29,2,6974.770415148192
29,3,118912.135195543
29,4,2091.203647327136
29,5,17537.785060782382
29,6,2885.732695206913
29,7,930.1200098800567
29,8,4156.018988661317
29,9,1402.3992711229475
29,10,4669.103066575973
29,11,7422.173345609057
29,12,11869.328101309278
29,13,5727.865324786918
29,14,3539.6283454876284
29,15,8824.922084133827
30,1,26848.628617265716
30,2,10850.86391851727
30,3,73420.09005918418
30,4,3030.1614295696195
30,5,27889.288024309182
30,6,4578.329246408652
30,7,1491.847752389216
30,8,5010.091004715334
30,9,2650.500588851474
30,10,8460.466667120085
30,11,9636.139435987901
30,12,25837.41040399938
30,13,7152.854378250012
30,14,4972.757877711231
30,15,12364.683277148324
31,1,21040.26854667542
31,2,12345.335983450752
31,3,76392.88628880146
31,4,2606.3388952911496
31,5,37083.52384576968
31,6,3434.1544994126543
31,7,1273.6684518374802
31,8,4005.1442293626997
31,9,2554.1444607688463
31,10,5099.4621592615995
31,11,6155.394346730473
31,12,16716.285106371466
31,13,9916.477074421453
31,14,5107.822677165938
31,15,14989.390425963731
32,1,40954.309571354286
32,2,12313.130340655664
32,3,137510.10368930764
32,4,4413.647328954627
32,5,48631.95178921063
32,6,6980.528102771729
32,7,1677.764161380301
32,8,6885.441058071887
32,9,3454.967715627365
32,10,7093.02328698518
32,11,12669.596429826028
32,12,33654.51245467848
32,13,10336.125500540527
32,14,7132.4328675202105
32,15,21655.98116454447
33,1,41847.781561755364
33,2,19764.03596003232
33,3,222053.57742245062
33,4,7030.657129929143
33,5,45548.64105990601
33,6,7771.662689030485
33,7,2858.580762208071
33,8,11607.476334345623
33,9,3710.067100296605
33,10,9577.495434537392
33,11,16560.18355334722
33,12,29551.60081302689
33,13,18280.77636852624
33,14,11089.606302596758
33,15,29229.17803577355
34,1,30181.490836060766
34,2,15002.52103478197
34,3,108540.37988972163
34,4,2637.8511159265104
34,5,35986.286033184
34,6,6519.540300158852
34,7,3200.0916606541537
34,8,10015.736604811087
34,9,3619.758627252301
34,10,9649.540265533113
34,11,11044.909399877213
34,12,36142.293789571806
34,13,8836.040728840133
34,14,4916.302052044827
34,15,21225.430547146745
35,1,47892.64877534491
35,2,24821.669901684432
35,3,201872.77038106305
35,4,6740.443904709002
35,5,71139.11658463806
35,6,9869.63318850146
35,7,4172.500074329261
35,8,10749.262762881863
35,9,4983.234376082552
35,10,10334.535037572306
35,11,22022.767489639627
